Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin open Total Transaction menu,Firefox 59.0,,2561-05-09 15:47:02,2561-05-09 15:48:01,58.734s,FAILED
,,,,,,
Test Cases/admin open Total Transaction menu,Firefox 59.0,,2561-05-09 15:47:02,2561-05-09 15:48:00,57.823s,FAILED
openBrowser,Firefox 59.0,,2561-05-09 15:47:03,2561-05-09 15:47:11,8.406s,PASSED
navigateToUrl,Firefox 59.0,,2561-05-09 15:47:11,2561-05-09 15:47:18,7.130s,PASSED
setText,Firefox 59.0,,2561-05-09 15:47:18,2561-05-09 15:47:18,0.292s,PASSED
setText,Firefox 59.0,,2561-05-09 15:47:18,2561-05-09 15:47:19,0.185s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:19,2561-05-09 15:47:19,0.498s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:19,2561-05-09 15:47:20,1.331s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:20,2561-05-09 15:47:21,0.789s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:21,2561-05-09 15:47:21,0.261s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:21,2561-05-09 15:47:22,0.271s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:22,2561-05-09 15:47:22,0.269s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:22,2561-05-09 15:47:22,0.247s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:22,2561-05-09 15:47:23,0.258s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:23,2561-05-09 15:47:23,0.273s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:23,2561-05-09 15:47:23,0.279s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:23,2561-05-09 15:47:23,0.250s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:23,2561-05-09 15:47:24,0.255s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:24,2561-05-09 15:47:24,0.262s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:24,2561-05-09 15:47:24,0.274s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:24,2561-05-09 15:47:24,0.268s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:24,2561-05-09 15:47:25,0.265s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:25,2561-05-09 15:47:25,0.235s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:25,2561-05-09 15:47:25,0.252s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:25,2561-05-09 15:47:25,0.240s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:25,2561-05-09 15:47:26,0.245s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:26,2561-05-09 15:47:26,0.254s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:26,2561-05-09 15:47:26,0.351s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:26,2561-05-09 15:47:27,0.294s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:27,2561-05-09 15:47:27,0.294s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:27,2561-05-09 15:47:27,0.242s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:27,2561-05-09 15:47:27,0.265s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:27,2561-05-09 15:47:28,0.229s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:28,2561-05-09 15:47:28,0.234s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:28,2561-05-09 15:47:28,0.275s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:28,2561-05-09 15:47:28,0.288s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:28,2561-05-09 15:47:29,0.253s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:29,2561-05-09 15:47:29,0.267s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:29,2561-05-09 15:47:29,0.261s,PASSED
click,Firefox 59.0,,2561-05-09 15:47:29,2561-05-09 15:48:00,30.905s,FAILED
